fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Id,quality
7.4,0.7,0.0,1.9,0.076,11.0,,0.9978,3.51,0.56,9.4,0.0,5
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,1.0,5
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,2.0,5
11.2,0.28,0.56,1.9,,,60.0,0.998,3.16,0.58,9.8,3.0,6
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,4.0,5
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5.0,5
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,6.0,5
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7.0,7
7.8,0.58,0.02,,0.073,9.0,,0.9968,3.36,0.57,9.5,8.0,7
6.7,0.58,0.08,1.8,0.0969999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,10.0,5
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,12.0,5
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,13.0,5
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,,10.5,16.0,7
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,,1.08,9.2,19.0,6
7.6,0.39,0.31,2.3,0.0819999999999999,23.0,71.0,0.9982,,0.65,9.7,21.0,5
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,,9.5,22.0,5
,,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,23.0,5
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,24.0,6
6.3,0.39,0.16,1.4,0.08,11.0,,0.9955,3.34,0.56,9.3,25.0,5
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,26.0,5
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,28.0,5
7.8,0.645,0.0,2.0,0.0819999999999999,8.0,16.0,0.9964,3.38,,9.8,29.0,6
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,,0.54,10.1,30.0,5
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,32.0,5
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,34.0,5
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,35.0,6
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,36.0,6
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,37.0,7
7.3,0.45,0.36,5.9,0.074,12.0,,0.9978,3.33,0.83,10.5,40.0,5
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,41.0,4
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,42.0,6
8.1,0.66,0.22,2.2,,9.0,23.0,0.9968,3.3,1.2,10.3,43.0,5
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,45.0,4
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,,9.2,46.0,5
,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,50.0,5
6.6,0.52,0.04,2.2,0.069,,15.0,0.9956,3.4,0.63,9.4,51.0,6
6.6,0.5,0.04,2.1,0.068,6.0,14.0,,3.39,0.64,9.4,52.0,6
,0.38,0.36,3.0,0.081,,119.0,0.997,3.2,0.56,9.4,53.0,5
7.6,0.51,0.15,,0.11,33.0,73.0,,3.17,0.63,10.2,54.0,6
,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,56.0,5
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,,10.0,58.0,5
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,59.0,6
8.8,0.4,0.4,2.2,0.079,19.0,52.0,,3.44,0.64,9.2,60.0,5
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,,5
7.0,0.735,0.05,2.0,,13.0,54.0,0.9966,3.39,0.57,9.8,63.0,5
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,64.0,5
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,65.0,5
6.6,0.705,,1.6,0.076,6.0,15.0,,3.44,0.58,10.7,67.0,5
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,69.0,6
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,72.0,5
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,73.0,4
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,76.0,5
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,77.0,6
6.7,0.75,,2.0,0.086,,80.0,0.9958,3.38,,10.1,78.0,5
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,,4
6.2,0.45,,1.6,0.069,3.0,15.0,0.9958,3.41,,9.2,80.0,5
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,82.0,5
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,,10.3,84.0,6
,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,85.0,5
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,86.0,6
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,87.0,5
9.3,0.39,0.44,2.1,0.107,34.0,,0.9978,3.14,1.22,9.5,88.0,5
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,89.0,5
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,90.0,5
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,91.0,6
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,93.0,5
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,94.0,4
6.8,0.775,0.0,,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,96.0,5
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,98.0,5
8.1,0.545,0.18,1.9,0.08,13.0,35.0,,3.3,0.59,9.0,99.0,6
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,100.0,6
8.1,,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,102.0,6
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,103.0,5
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,104.0,5
8.1,0.575,0.22,2.1,0.077,12.0,65.0,,3.29,0.51,9.2,105.0,5
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,106.0,5
,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,107.0,5
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,110.0,5
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,,0.66,9.8,111.0,5
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,113.0,6
7.8,0.56,0.19,,0.104,12.0,47.0,0.9964,3.19,,9.5,114.0,5
9.4,,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,115.0,6
8.3,0.54,,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,,6
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,120.0,5
8.8,,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,121.0,6
7.3,,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,122.0,5
7.8,0.5,0.17,1.6,0.0819999999999999,21.0,102.0,0.996,3.39,0.48,9.5,124.0,5
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,126.0,5
8.1,1.33,0.0,,0.0819999999999999,,12.0,0.9964,3.54,0.48,10.9,127.0,5
,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,,7
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,130.0,5
5.6,0.5,0.09,,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,131.0,5
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,134.0,6
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,135.0,5
7.2,0.415,,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,137.0,5
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,,9.6,140.0,5
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,142.0,6
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,143.0,5
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,,0.79,14.0,144.0,6
8.1,0.67,0.55,1.8,0.1169999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,145.0,5
5.8,0.68,0.02,1.8,0.087,21.0,,0.9944,3.54,0.52,10.0,146.0,5
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,148.0,6
7.3,0.33,0.47,2.1,0.077,5.0,11.0,,3.33,0.53,10.3,150.0,6
,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,151.0,4
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,152.0,5
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,153.0,5
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,155.0,5
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,156.0,5
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,157.0,5
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,158.0,5
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,159.0,6
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,,0.56,9.6,160.0,5
,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,161.0,4
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,162.0,6
7.4,0.6,0.26,7.3,0.07,36.0,121.0,,3.37,0.49,9.4,163.0,5
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,164.0,5
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,165.0,5
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,166.0,5
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,167.0,4
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,168.0,6
7.9,0.885,0.03,1.8,0.0579999999999999,4.0,8.0,0.9972,3.36,0.33,9.1,170.0,4
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,172.0,6
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,173.0,6
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,175.0,5
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,176.0,5
7.5,0.52,0.42,,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,177.0,6
7.0,0.805,0.0,2.5,,7.0,20.0,0.9969,3.48,0.56,9.6,178.0,5
8.8,0.61,0.14,,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,179.0,5
8.8,0.61,0.14,2.4,0.067,10.0,42.0,,3.19,,9.5,,5
8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,9.3,181.0,5
7.2,0.73,0.02,2.5,0.076,,42.0,0.9972,3.44,,9.3,182.0,5
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,,9.3,183.0,5
,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,184.0,6
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,185.0,5
7.4,0.39,0.48,2.0,0.0819999999999999,14.0,67.0,0.9972,3.34,0.55,9.2,186.0,5
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,188.0,5
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,190.0,5
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,191.0,6
